Textbox201,Textbox215,Textbox219,Textbox223,Textbox199,Textbox217,Textbox203,Textbox209,Textbox221
#Error,#Error,#Error,#Error,#Error,#Error,#Error,#Error,#Error

Department1,Responsible_Unit1,Operation_Number1,Operation__English_1,Operation_Type1,Modality1,Lending_Instrument1,Operation_Stage1,Team_Leader1,Clause_ID,Clause_Number,Contract_ID,SL_VW_CONTRACT_Operation_Number,UDR,Clause_Status__English_,Clause_Type__English_,B_Clause_Description,Clause_Submission_Date,Clause_Approved_Date,Clause_Original_Expiration_Date,Clause_Current_Expiration_Date,Days_Between_Approval_Date_and_Expiration_Date,Days_to_Expiration
CID,CID/CCR,CR-T1304,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",696431,Eligibility Condition,36417,ATN/OC-21468-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,14-Feb-2025,14-Feb-2025,06-Apr-2025,06-Apr-2025,51,-442
CID,CID/CCR,CR-T1304,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",696415,Final Disbursement,36417,ATN/OC-21468-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,31-Dec-2026,31-Dec-2026,,192
CID,CID/CCR,CR-T1311,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",704787,Eligibility Condition,37408,ATN/OC-22273-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,06-Feb-2026,11-Feb-2026,05-Apr-2026,05-Apr-2026,53,-78
CID,CID/CCR,CR-T1311,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",704778,Final Disbursement,37408,ATN/OC-22273-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,31-Dec-2027,31-Dec-2027,,557
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",706714,13.a,30969,ATN/FM-17231-CR,CID/CCR,TRACK,Financial,Informe de auditoría externa y otros informes financieros,,,21-Sep-2026,21-Sep-2026,,91
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647477,6a,30969,ATN/FM-17231-CR,CID/CCR,TRACK,Financial,Plazo de ultimo desembolso,,,24-Feb-2024,24-May-2026,,-29
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",672882,Articulo 13 (A),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Informe de auditoria externa,28-Apr-2022,05-May-2022,30-Apr-2022,30-Apr-2022,-5,-1514
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",672851,Articulo 13 (A),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Informe de auditoria externa,28-Apr-2023,08-Jun-2023,30-Apr-2023,30-Apr-2023,-39,-1149
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647522,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-2023,02-Nov-2023,14-Aug-2023,14-Aug-2023,-80,-1043
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647517,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Feb-2021,27-Apr-2021,14-Feb-2021,14-Feb-2021,-72,-1954
