Textbox201,Textbox215,Textbox219,Textbox223,Textbox199,Textbox217,Textbox203,Textbox209,Textbox221,,,,,,,,,,,,,,
#Error,#Error,#Error,#Error,#Error,#Error,#Error,#Error,#Error,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Department1,Responsible_Unit1,Operation_Number1,Operation__English_1,Operation_Type1,Modality1,Lending_Instrument1,Operation_Stage1,Team_Leader1,Clause_ID,Clause_Number,Contract_ID,SL_VW_CONTRACT_Operation_Number,UDR,Clause_Status__English_,Clause_Type__English_,B_Clause_Description,Clause_Submission_Date,Clause_Approved_Date,Clause_Original_Expiration_Date,Clause_Current_Expiration_Date,Days_Between_Approval_Date_and_Expiration_Date,Days_to_Expiration
CID,CID/CCR,CR-T1304,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",696431,Eligibility Condition,36417,ATN/OC-21468-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,14-Feb-25,14-Feb-25,6-Apr-25,6-Apr-25,51,-416
CID,CID/CCR,CR-T1304,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",696415,Final Disbursement,36417,ATN/OC-21468-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,31-Dec-26,31-Dec-26,,218
CID,CID/CCR,CR-T1311,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",704787,Eligibility Condition,37408,ATN/OC-22273-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Condition for Eligibility,6-Feb-26,11-Feb-26,5-Apr-26,5-Apr-26,53,-52
CID,CID/CCR,CR-T1311,Action Plan C&D,TCP,,,DI,"GRANADA GARCES, ISABEL CRISTINA",704778,Final Disbursement,37408,ATN/OC-22273-CR,CID/CCR,TRACK,Financial,Final Disbursement Clause.,,,31-Dec-27,31-Dec-27,,583
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",706714,13.a,30969,ATN/FM-17231-CR,CID/CCR,TRACK,Financial,Informe de auditoría externa y otros informes financieros,,,21-Sep-26,21-Sep-26,,117
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647477,6a,30969,ATN/FM-17231-CR,CID/CCR,TRACK,Financial,Plazo de ultimo desembolso,,,24-Feb-24,24-May-26,,-3
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",672851,Articulo 13 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Informe de auditoria externa,28-Apr-23,8-Jun-23,30-Apr-23,30-Apr-23,-39,-1123
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",672882,Articulo 13 (a),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Informe de auditoria externa,28-Apr-22,5-May-22,30-Apr-22,30-Apr-22,-5,-1488
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647523,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,TRACK,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,,,14-Feb-24,14-Feb-24,,-833
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647522,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-23,2-Nov-23,14-Aug-23,14-Aug-23,-80,-1017
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647521,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Feb-23,9-Jun-23,14-Feb-23,14-Feb-23,-115,-1198
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647520,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-22,29-Aug-22,14-Aug-22,14-Aug-22,-15,-1382
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647515,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,10-Mar-20,15-Apr-20,14-Feb-20,14-Feb-20,-61,-2294
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647518,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-21,21-Oct-21,14-Aug-21,14-Aug-21,-68,-1747
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647514,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,26-Mar-20,15-Apr-20,14-Aug-19,14-Aug-19,-245,-2478
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647516,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Aug-20,3-Nov-20,14-Aug-20,14-Aug-20,-81,-2112
CSD,CSD/BNC,CR-T1148,Sustainable Management of Ecosystem Services,TCP,,,DI,"SAMAYOA JUAREZ, JORGE OMAR",647517,Cláusula Especial 13 (i),30969,ATN/FM-17231-CR,CID/CCR,FULFILLED,Financial,Seguimiento y Evaluación: Informes Semestrales de Progreso,14-Feb-21,27-Apr-21,14-Feb-21,14-Feb-21,-72,-1928
